Name;English;Afrikaans;Danish;Dutch;French;German;Italian;Norwegian;Polish;Spanish;Swedish
Ahnenblatt;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
Ancestral Quest;Yes;No;Yes;No;Yes;Yes;No;Yes;No;Yes;partial
Agelong Tree;Yes;No;No;Yes;Yes;Yes;Yes;No;Yes;Yes;No
Brother's Keeper;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;No;Yes
Family Historian;Yes;No;No;No;No;No;No;No;No;No;No
Family Tree Builder;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
Family Tree Maker Windows;Yes;No;Yes;No;No;No;No;No;No;No;No
Family Tree Maker for Mac;Yes;No;No;No;No;No;No;No;No;No;No
Genbox Family History;Yes;No;Yes;Yes;Yes;Yes;Yes;partial;Yes;partial;partial
GEDitCOM II;Yes;No;No;No;Yes;No;No;No;No;Yes;Yes
GenealogyJ;Yes;No;No;Yes;Yes;Yes;No;No;Yes;Yes;No
GenoPro;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes
GRAMPS;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
Legacy Family Tree;Yes;No;Yes;Yes;No;Yes;No;Yes;No;No;Yes
LifeLines;Yes;No;Yes;No;Yes;Yes;No;No;No;No;Yes
MacFamilyTree;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
Personal Ancestral File;v4.x/5.x;No;No;No;v4.x;v4.x/5.x;No;No;No;v4.x;v5.x
Reunion;Yes;No;No;Yes;Yes;Yes;No;Yes;No;No;No
RootsMagic;Yes;No;No;No;No;No;No;No;No;No;No
SmartGenealogy;Yes;No;No;No;Yes;No;No;No;No;No;No
The Master Genealogist;Yes;Yes;Yes;Yes;Yes;Yes;partial;Yes;No;No;Yes
