Name;Unicode Support;Individual view;Family view;Chronology view;Ancestor charts;Ancestor narrative reports;Ancestor pedigree reports;Descendant charts;Descendant narrative reports;Fan charts;Research Manager;DNA charts;Research Guidance;Mapping;Pedigree view
Ahnenblatt;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;No;No;No;Yes;Yes
Ancestral Quest;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;No;Yes;Yes
Agelong Tree;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;No;No;No;No;No;Yes
Brother's Keeper;No;Yes;Yes;;Yes;Yes;Yes;Yes;Yes;Yes;;;No;;Yes
Family Historian;No;Yes;Yes;N_A;Yes;Yes;Yes;Yes;Yes;;;;No;;Yes
Family Tree Builder;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes
Family Tree Maker (Windows);No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;;Yes;Yes;Yes
Family Tree Maker for Mac;No;Yes;Yes;;Yes;Yes;Yes;Yes;Yes;Yes;;;No;Yes;Yes
GEDitCOM II;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;No;Yes;Yes
Genbox Family History;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;No;No;Yes
GenealogyJ;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;No;No;Yes;Yes
GenoPro;Yes;Yes;Yes;No;Yes;No;No;Yes;Yes;Yes;;;No;;Yes
GRAMPS;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;No;No;Yes;Yes
Legacy Family Tree;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
LifeLines;Yes;Yes;Yes;;;;;;;;;;No;;Yes
MacFamilyTree;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;No;Yes;No;No;No;Yes;Yes
Personal Ancestral File;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;No;No;;No;;Yes
Reunion;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;No;No;No;Yes
RootsMagic;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
SmartGenealogy;No;Yes;Yes;;Yes;Yes;Yes;Yes;Yes;;;;No;;Yes
The Master Genealogist;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;;;No;;Yes
