Identifior,SectionEditing,PageTemplates,DoubleClickEdit,Toolbar,WYSIWYGEditing,AccessKeys,AutoSignature
Groupswiki,N_A,N_A,N_A,Yes,N_A,N_A,N_A
Sputnik,No,No,No,No,No,XHTML1_1,Yes
Socialtext,Yes,Yes,Yes,Yes,Yes,Yes,Yes
TracWiki,Yes,No,No,No,No,No,XHTML1_0Strict
OpenWikiNG,Yes,No,No,No,No,No,XHTML1_0Transitional
Hatta,Yes,Yes,Yes,No,No,No,HTML4
MidgardWiki,X3,XHTML1_0Strict,Yes,PrintCSS,Yes,Yes,No
SubWiki,Yes,No,No,No,No,No,No
UseMod,Yes,No,No,Yes,No,No,Yes
Nexdo,No,No,No,No,No,Link,Http__www_example_comhttp__www_example_comwww_example_com
Intodit,N_A,N_A,Yes,No,Yes,Yes,N_A
MoniWiki,Yes,Yes,No,X3,No,No,XHTML1_0Transitional
PBwiki,Yes,Yes,Yes,Yes,Yes,Yes,Yes
XoWiki,Yes,N_A,N_A,Yes,Yes,Yes,N_A
JaWiki,Yes,No,N_A,N_A,N_A,N_A,HTML4
PukiWiki,Yes,X3,No,X3,No,No,XHTML1_1
Wiki,No,No,No,Yes,No,Yes,Yes
WikiSpot,No,No,No,Yes,Yes,No,No
Bitweaver,Yes,No,Yes,Yes,Yes,Yes,XHTML1_0Strict
Gazest,N_A,N_A,XHTML1_0Transitional,Yes,N_A,N_A,No
Gitit,Yes,No,No,No,No,No,XHTML1_0Transitional
SamePage,X4,Yes,No,Yes,Yes,Yes,No
EditMe,Yes,Yes,No,Yes,Yes,Yes,Yes
ThoughtFarmer,Yes,No,N_A,No,No,Yes,XHTML1_0Transitional
WikkaWiki,Yes,Yes,Yes,X4,X4,Yes,XHTML1_0Transitional
WikionaStick,Yes,Yes,Yes,No,No,N_A,XHTML1_0Transitional
WxWikiServer,No,Yes,No,No,No,Yes,Yes
MindTouch,Yes,Yes,No,Yes,Yes,Yes,Yes
DokuWiki,Yes,X3,X3,No,No,X3,XHTML1_0Transitional
BusinessWiki,Yes,Yes,No,Yes,Yes,No,No
ProWiki,Yes,Yes,Yes,Yes,No,Yes,HTML4
UniWakka,Yes,PrintCSS,No,Yes,No,No,Yes
WikiNi,Yes,Yes,Yes,No,No,No,XHTML1_0Transitional
Wiclear,No,No,XHTML1_0Strict,Yes,PrintView,Yes,Yes
MediaWiki,Yes,Yes,Yes,Yes,X3,X2,XHTML1_0Transitional
KeheiWiki,Yes,X3,X3,No,No,X3,HTML3
PodWiki,No,HTML4,Yes,PrintView,Yes,X2,No
XWiki,Yes,Yes,Yes,Yes,Yes,Yes,XHTML1_0Strict
Yawiki,N_A,Yes,XHTML1_1,Yes,PrintView,Yes,Yes
WackoWiki,Yes,Yes,Yes,Yes,No,X3,XHTML1_0Transitional
MetadotWiki,Yes,Yes,Yes,No,No,No,Contents
LionWiki,Yes,No,No,No,No,No,XHTML1_0Transitional
Oddmuse,Yes,X3,X3,No,X3,No,XHTML1_0Strict
ErfurtWiki,X3,X3,X3,X3,X2,No,HTML4
Telepark_wiki,N_A,N_A,N_A,N_A,N_A,N_A,N_A
Pier,N_A,N_A,XHTML1_0Strict,Yes,N_A,Yes,N_A
PAUX,Yes,Yes,Yes,Yes,Yes,Yes,XHTML1_1
TrikiWiki,X3,No,No,No,No,No,XHTML1_0Transitional
SharePointWikiPlus,Yes,No,Yes,No,Yes,HTML4,Yes
Swirrl,Yes,No,No,Yes,No,No,No
JOTWiki,X2,HTML4,Yes,PrintView,Yes,No,No
WiGit,No,No,No,No,No,XHTML1_0Transitional,Yes
Cospire,N_A,N_A,No,No,N_A,N_A,N_A
WikiDoc,No,XHTML1_0Transitional,Yes,PrintView,X2,No,N_A
KWikiKWiki,N_A,Yes,N_A,Yes,N_A,N_A,N_A
PortiliTeamWiki,No,No,No,No,No,No,XHTML1_0Strict
WikiASP,HTML4,Yes,N_A,X4,Yes,No,No
Clearspace,No,No,XHTML1_0Transitional,Yes,PrintView,Yes,Yes
PmWiki,Yes,X2,X2,No,X3,X3,XHTML1_0Transitional
BrainKeeper,Yes,Yes,Yes,Yes,N_A,No,Contents
Ikiwiki,Yes,X3,X3,No,No,No,XHTML1_0Strict
BLADEWiki,N_A,N_A,Yes,N_A,N_A,Yes,N_A
