Name;Rain;Animated_3D_Box_crew;Movable_Driver_Arms;View_changeable_to_Topview
NASCAR_2003;No;No;Yes;Yes
Racer;Yes;No;No;Yes
GTR;Yes;No;No;Yes
GT_Legends;No;Yes;Yes;Yes
GTR_2;Yes;Yes;Yes;Yes
RACE;Yes;No;Yes;No
rFactor;Partial;Yes;Partial;Yes
netKar_Namie;No;No;Yes;Yes
netKar_Pro;Yes;No;Yes;Yes
Live_for_Speed;No;No;Yes;Yes
Richard_Burns_Rally;Yes;Yes;No;Yes
Drivers_Republic;No;No;No;Yes
Virtual_Grand_Prix_2;Yes;No;No;No
X_Motor_Racing;No;No;No;Yes
F1_Challenge_9902;Yes;Yes;Yes;Yes
TORCS;No;No;No;Yes
Grand_Prix_Legends;Partial;No;Yes;Partial
Grand_Prix_4;Yes;Yes;Yes;Yes
iRacing_com;No;No;Yes;No
