Name;Visual_car_body_damage;Suspension_damage;Steering_alignment_damage;Engine_damage;Gearbox_damage;Clutch_slip_temperature;Aerodynamics_damage;Brake_wear_and_fade;Normal_wear_and_tear;Driver_injuries
NASCAR_2003;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;No
Racer;No;No;No;No;No;No;No;No;No;No
GTR;Partial;Yes;Yes;Yes;Yes;No;Yes;Yes;No;No
GT_Legends;Yes;Yes;Yes;Yes;No;No;Yes;Yes;No;No
GTR_2;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;No
RACE;Yes;Yes;Yes;Yes;No;No;Yes;Yes;No;No
rFactor;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;No
netKar_Namie;No;Yes;Yes;Yes;No;No;No;No;No;No
netKar_Pro;Partial;Yes;Yes;Yes;Yes;No;Yes;No;No;No
Live_for_Speed;Yes;Yes;Yes;Partial;No;Yes;No;No;No;No
Richard_Burns_Rally;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
Drivers_Republic;No;No;No;No;No;No;No;No;No;No
Virtual_Grand_Prix_2;Partial;Yes;Yes;Yes;Yes;No;Yes;No;Yes;No
X_Motor_Racing;Yes;Yes;Yes;Yes;No;No;No;No;No;No
F1_Challenge_9902;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No
TORCS;No;No;No;Yes;No;No;Yes;No;No;No
Grand_Prix_Legends;No;Yes;Yes;Yes;No;No;No;No;No;No
Grand_Prix_4;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;No
iRacing_com;Yes;Yes;Yes;Yes;No;No;Yes;No;No;No
