Name;Asphalt_concrete;Concrete;Tarmac;Unpaved_dirt_road;Unpaved_gravel_road;Unpaved_ice;Water;Snow;Hail;Dirt_on_nondirtroads;Mud;Tire_rubber;Oil;Rubber_marbles
NASCAR_2003;Yes;Yes;No;Yes;Yes;No;Partial;No;No;Yes;No;No;No;No
Racer;Yes;Yes;Partial;Partial;Partial;Partial;Partial;Partial;No;Partial;Partial;No;No;No
GTR;Yes;Yes;Yes;No;No;No;Yes;No;No;No;No;Yes;No;Yes
GT_Legends;Yes;Yes;Yes;No;No;No;No;No;No;No;No;Yes;No;No
GTR_2;Yes;Yes;Yes;No;No;No;Yes;No;No;No;No;Yes;No;Yes
RACE;Yes;Yes;Yes;No;No;No;Yes;No;No;No;No;No;No;No
rFactor;Yes;Yes;Yes;Partial;Partial;Partial;No;No;No;No;Yes;No;No;No
netKar_Namie;Yes;Yes;Yes;No;No;No;Partial;No;No;No;No;No;No;No
netKar_Pro;Yes;Yes;Yes;No;No;No;Partial;No;No;No;No;No;No;No
Live_for_Speed;Yes;Yes;Yes;Yes;Yes;Partial;No;No;No;No;No;No;No;No
Richard_Burns_Rally;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;No;No;No
Drivers_Republic;Yes;Yes;Yes;Yes;Yes;No;No;No;No;Yes;No;No;No;No
Virtual_Grand_Prix_2;Yes;Yes;Yes;Yes;Yes;No;Yes;No;No;No;No;Yes;No;No
X_Motor_Racing;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;No;No;No
F1_Challenge_9902;Yes;Yes;Yes;Yes;Yes;No;Yes;No;No;No;Yes;No;No;No
TORCS;Yes;Yes;Yes;Yes;Yes;No;No;No;No;No;No;No;No;No
Grand_Prix_Legends;Yes;Yes;Yes;Partial;No;Partial;Partial;Partial;No;Yes;No;No;No;No
Grand_Prix_4;Yes;Yes;Yes;No;No;No;Yes;No;No;No;No;No;No;No
iRacing_com;Yes;Yes;Yes;No;No;No;No;No;No;Yes;No;No;No;No
