Name;Synthesized_vehicle_engine_sound_system1;Recorded_vehicle_engine_sound_system1;Echo;3D
NASCAR_2003;No;Yes;Yes;Yes
Racer;No;Yes;Yes;Yes
GTR;No;Yes;No;Yes
GT_Legends;No;Yes;Yes;Yes
GTR_2;No;Yes;Yes;Yes
RACE;No;Yes;No;No
rFactor;No;Yes;Yes;Yes
netKar_Namie;No;Yes;No;No
netKar_Pro;Yes;Yes;No;No
Live_for_Speed;Yes;Yes;Yes;No
Richard_Burns_Rally;Yes;No;Yes;Yes
Drivers_Republic;No;Yes;No;No
Virtual_Grand_Prix_2;No;Yes;Yes;No
X_Motor_Racing;No;Yes;No;Yes
F1_Challenge_9902;No;Yes;Yes;No
TORCS;No;Yes;No;Yes
Grand_Prix_Legends;No;Yes;No;No
Grand_Prix_4;Yes;Yes;Yes;Yes
iRacing_com;No;Yes;Yes;Yes
