Name;Dirt_on_tire_affects_grip;Racing_line_affects_grip;Walls_deformation
NASCAR_2003;No;Yes;No
Racer;No;No;No
GTR;No;Yes;No
GT_Legends;Yes;Yes;No
GTR_2;Yes;Yes;No
RACE;No;Yes;No
rFactor;Yes;No;No
netKar_Namie;Yes;Yes;No
netKar_Pro;Yes;Yes;No
Live_for_Speed;Yes;No;Yes
Richard_Burns_Rally;Yes;Yes;Yes
Drivers_Republic;No;No;Yes
Virtual_Grand_Prix_2;Yes;Yes;Yes
X_Motor_Racing;Yes;Yes;Yes
F1_Challenge_9902;No;No;No
TORCS;No;No;No
Grand_Prix_Legends;No;No;No
Grand_Prix_4;No;No;No
iRacing_com;No;No;No
