Name;Dynamic_wear;Dynamic_temperature;Dynamic_pressure;Dynamic_control;Customization
NASCAR_2003;Yes;Yes;Yes;No;No
Racer;No;No;No;No;Partial
GTR;Yes;Yes;Yes;No;No
GT_Legends;Yes;Yes;Yes;No;No
GTR_2;Yes;Yes;Yes;No;No
RACE;Yes;Yes;Yes;No;No
rFactor;Yes;Yes;Yes;No;No
netKar_Namie;Yes;Yes;;No;No
netKar_Pro;Yes;Yes;Yes;No;No
Live_for_Speed;Yes;Yes;Yes;No;No
Richard_Burns_Rally;No;Yes;;No;No
Drivers_Republic;No;;;No;No
Virtual_Grand_Prix_2;Yes;Yes;Yes;No;No
X_Motor_Racing;Yes;Yes;Yes;Yes;Yes
F1_Challenge_9902;Yes;Yes;Yes;No;No
TORCS;No;No;Yes;No;No
Grand_Prix_Legends;No;Yes;Yes;No;No
Grand_Prix_4;;;;No;No
iRacing_com;Yes;Yes;Yes;No;No
