Name;3_axis_Moment_of_inertia;Anti_roll_bars;Chassis_flex;Axle_flex;Engine_torque_transmitted_onto_chassis
NASCAR_2003;No;Yes;No;No;Yes
Racer;Yes;Yes;No;No;Yes
GTR;Yes;Yes;No;No;Yes
GT_Legends;Yes;Yes;No;No;Yes
GTR_2;Yes;Yes;No;No;Yes
RACE;Yes;Yes;No;No;Yes
rFactor;Yes;Yes;No;No;Yes
netKar_Namie;No;Yes;No;No;Yes
netKar_Pro;No;Yes;Yes;No;Yes
Live_for_Speed;Yes;Yes;No;No;Yes
Richard_Burns_Rally;Yes;Yes;No;No;Yes
Drivers_Republic;No;Yes;No;No;Yes
Virtual_Grand_Prix_2;No;Yes;No;No;Yes
X_Motor_Racing;Yes;Yes;No;No;Yes
F1_Challenge_9902;Yes;Yes;No;No;Yes
TORCS;Yes;Yes;No;No;Yes
Grand_Prix_Legends;No;Yes;No;No;Yes
Grand_Prix_4;No;Yes;No;No;Yes
iRacing_com;Yes;Yes;No;No;Yes
