Software,Windows,Mac OS X,Linux,BSD,Unix
2collab ,N/A ,N/A ,N/A ,N/A ,N/A
Aigaion ,Yes ,Yes ,Yes ,Yes ,Yes
Bebop ,Yes ,Yes ,Yes ,Yes ,Yes
BibDesk ,No ,Yes ,No ,No ,No
Biblioscape ,Yes ,No ,No ,No ,No
BibSonomy ,N/A ,N/A ,N/A ,N/A ,N/A
Bibus ,Yes ,Yes ,Yes ,Yes ,Yes
Bookends ,No ,Yes ,No ,No ,No
CiteULike ,N/A ,N/A ,N/A ,N/A ,N/A
Connotea ,Yes ,Yes ,Yes ,Yes ,Yes
EndNote ,Yes,Yes ,No ,No ,No
JabRef ,Yes ,Yes ,Yes ,Yes ,Yes
Jumper 2.0 ,Yes ,Yes ,Yes ,Yes ,Yes
Mendeley ,Yes ,Yes ,Yes ,No ,No
Papers ,No ,Yes ,No ,No ,No
Pybliographer ,Partial,Partial,Yes ,Yes ,Yes
Qiqqa ,Yes ,No ,No ,No ,No
refbase ,Yes ,Yes ,Yes ,Yes ,Yes
RefDB ,Yes ,Yes ,Yes ,Yes ,Yes
Reference Manager ,Yes,No ,No ,No ,No
Referencer ,No ,No ,Yes ,No ,No
RefWorks ,N/A ,N/A ,N/A ,N/A ,N/A
Scholar's Aid ,Yes ,No ,No ,No ,No
Sente ,No ,Yes ,No ,No ,No
Wikindx ,Yes ,Yes ,Yes ,Yes ,Yes
WizFolio ,Yes ,Yes ,Yes ,Yes ,Yes
Zotero ,Yes ,Yes ,Yes ,Yes ,Yes
