Software,BibTeX,Endnote/Refer/BibIX,Medline,MODS XML,RIS
2collab ,Yes ,No ,No ,No ,Yes 
Aigaion ,Yes ,No ,No ,No ,Yes 
Bebop ,Yes ,No ,No ,No ,No 
BibDesk ,Yes ,No ,Yes ,Yes ,Yes 
Biblioscape ,Yes ,Yes ,Yes ,No ,Yes 
BibSonomy ,Yes ,Yes ,No ,No ,Yes 
Bibus ,Yes ,Yes ,Yes ,No ,Yes 
Bookends ,Yes ,Yes ,Yes ,No ,Yes 
CiteULike ,Yes ,No ,No ,No ,Yes 
Connotea ,Yes ,Yes ,No ,Yes ,Yes 
EndNote ,Yes ,Yes ,Yes ,No ,Yes 
JabRef ,Yes ,Yes ,No ,Yes ,Partial
Jumper 2.0 ,Yes ,Yes ,No ,Yes ,Yes 
Mendeley ,Yes ,Yes ,No ,No ,Yes 
Papers ,Yes ,Yes ,No ,No ,Yes 
Pybliographer ,Yes ,Yes ,Yes ,No ,No 
Qiqqa ,Yes ,No ,No ,No ,No 
refbase ,Yes ,Yes ,No ,Yes ,Yes 
RefDB ,Yes ,Yes ,No ,Yes ,Yes 
Reference Manager ,Yes ,No ,No ,No ,Yes 
Referencer ,Yes ,N/A,N/A,N/A,N/A
RefWorks ,Yes ,No ,No ,No ,Yes 
Scholar's Aid ,No ,N/A,No ,No ,No 
Sente ,Yes ,Yes ,No ,No ,Yes 
Wikindx ,Yes ,Yes ,No ,No ,Yes 
WizFolio ,No ,No ,No ,No ,Yes 
Zotero ,Yes ,Yes ,No ,Yes ,Yes 
