Software,BibTeX,Copac,CSA,Endnote/Refer/BibIX,ISI,Medline,MODS XML,Ovid,PubMed,RIS,SciFinder
2collab ,No ,No ,No ,No ,No ,No ,No ,No ,No ,Yes ,No 
Aigaion ,Yes ,No ,No ,No ,No ,No ,No ,No ,No ,Yes ,No 
Bebop ,Yes ,No ,No ,No ,No ,No ,No ,No ,No ,No ,No 
BibDesk ,Yes ,Yes ,No ,Yes ,Yes ,Yes ,Yes ,No ,Yes ,Yes ,Yes 
Biblioscape ,Yes ,Yes ,Yes ,Yes ,Yes ,Yes ,No ,Yes ,Yes ,Yes ,Yes 
BibSonomy ,Yes ,No ,No ,Yes ,No ,No ,No ,No ,No ,No ,No 
Bibus ,Yes ,No ,No ,Yes ,Yes ,Yes ,No ,No ,No ,Yes ,No 
Bookends ,Yes ,Yes ,Yes ,Yes ,Yes ,Yes ,No ,Yes ,Yes ,Yes ,Yes 
CiteULike ,Yes ,No ,No ,No ,No ,No ,No ,No ,No ,Yes ,No 
Connotea ,Yes ,No ,No ,Yes ,Yes ,No ,Yes ,No ,No ,Yes ,No 
EndNote ,No,No ,Yes ,Yes ,Yes ,Yes ,No ,Yes ,Yes ,Yes ,Yes 
JabRef ,Yes ,No ,Yes ,Yes ,Yes ,Yes ,No ,Yes ,Yes ,Yes ,Yes 
Jumper 2.0 ,Yes ,No ,No ,Yes ,Yes ,Yes ,Yes ,No ,Yes ,No ,No 
Mendeley ,Yes ,No ,No ,Yes ,No ,No ,No ,No ,No ,Yes ,No 
Papers ,Yes ,No ,No ,No ,No ,No ,No ,No ,No ,Yes ,No 
Pybliographer ,Yes ,No ,No ,Yes ,Yes ,Yes ,No ,Yes ,No ,No ,No 
Qiqqa ,Yes ,No ,No ,No ,No ,No ,No ,No ,No ,No ,No 
refbase ,Yes ,Yes ,Yes ,Yes ,Yes ,Yes ,Yes ,No ,Yes ,Yes ,Yes 
RefDB ,Yes ,Yes ,No ,Yes ,Yes ,Yes ,Yes ,No ,Yes ,Yes ,Yes 
Reference Manager ,Yes ,No ,Yes ,Yes ,Yes ,Yes ,No ,Yes ,Yes ,Yes ,Yes 
Referencer ,Yes ,No ,No ,Yes ,No ,No ,Yes ,No ,No ,Yes ,No 
RefWorks ,Yes ,Yes ,Yes ,Yes ,Yes ,Yes ,No ,Yes ,Yes ,Yes ,Yes 
Scholar's Aid,No ,No ,No ,Yes ,N/A,Yes ,No ,No ,Yes ,N/A,No 
Sente ,Yes ,No ,Yes ,Yes ,Yes ,No ,No ,Yes ,Yes ,Yes ,Yes 
Wikindx ,Yes ,Partial,No ,Yes,Partial,No ,Partial,No ,Yes ,Yes ,No 
WizFolio ,No ,No ,No ,No ,No ,No ,No ,No ,No ,Yes ,No 
Zotero ,Yes ,No ,No ,Yes ,Partial,No ,Yes ,Partial,Partial,Yes ,No 
