Name;Word processor;Spreadsheet;Presentation program;Notetaking software;Diagramming software;Raster graphics editor;Vector graphics editor;Image viewer;Formula editor;Database management system;Project management software;Desktop publishing software
Ability Office;Ability Write;Ability Spreadsheet;Ability Presentation;No;Ability Draw;Ability Photopaint;Ability Draw;Ability Photoalbum;No;Ability Database;No;No
Breadbox Office;Writer;Spreadsheet;No;No;No;Artist;Artist;No;No;Geofile;No;No
Calligra Suite;KWord;KSpread;KPresenter;BasKet;Kivio;Krita;Karbon14;Gwenview/Digikam;KFormula;Kexi;KPlato;KWord
Celframe Office;Celframe Write;Celframe Spreadsheet;Celframe Power Presentation;Celframe Note Taker;Celframe Draw;Celframe Draw;Celframe Studio;Celframe Photo Album;Celframe Spreadsheet Inbuilt;Celframe DataAccess;Celframe Project;Celframe Publisher
Feng Office Community Edition;Yes;No;Yes;Yes;No;No;No;Yes;No;No;Yes;No
GobeProductive;Yes;Yes;Yes;No;Yes;No;Yes;No;Yes;Yes;Yes;Yes
Google Apps;Google Docs;Google Docs;Google Docs;Google Notebook;Google Docs;Google Drawing;Google Drawing;Picasa, Picasaweb;TeX compatible;No;No;No
IBM Lotus Symphony;Documents;Spreadsheets;Presentations;No;No;No;No;No;No;No;No;No
iWork;Pages;Numbers;Keynote;No;No;No;No;No;No;No;No;Pages
Kingsoft Office (WPS Office);Kingsoft Writer;Kingsoft Spreadsheets;Kingsoft Presentation;No;No;No;No;No;Equation Editor;No;No;No
LibreOffice;LibreOffice Writer;LibreOffice Calc;LibreOffice Impress;No;LibreOffice Draw;No;LibreOffice Draw;No;LibreOffice Math;LibreOffice Base;No;LibreOffice Draw
Lotus SmartSuite;Lotus Word Pro;Lotus 1-2-3;Lotus Freelance Graphics;No;Lotus Freelance Graphics;No;No;No;built in;Lotus Approach;Lotus Organizer;No
MarinerPak;Mariner Write;Mariner Calc;No;No;No;No;No;No;No;No;No;No
Microsoft Office;Microsoft Word;Microsoft Excel;Microsoft PowerPoint;Microsoft OneNote;Microsoft Visio;No;No;Microsoft Office Picture Manager;Equation Editor;Microsoft Access;Microsoft Project;Microsoft Publisher
Microsoft Works;Microsoft Works Word Processor;Microsoft Works Spreadsheet;Microsoft Office PowerPoint Viewer;No;No;No;No;No;No;Microsoft Works Database;No;No
NeoOffice;NeoOffice Writer;NeoOffice Calc;NeoOffice Impress;No;NeoOffice Draw;No;NeoOffice Draw;No;NeoOffice Math;NeoOffice Base;No;NeoOffice Draw
OpenOffice.org;OpenOffice.org Writer;OpenOffice.org Calc;OpenOffice.org Impress;No;OpenOffice.org Draw;No;OpenOffice.org Draw;No;OpenOffice.org Math;OpenOffice.org Base;No;OpenOffice.org Draw
ShareOffice;iNetOffice;EditGrid;Preezo;No;No;No;No;No;No;No;No;No
SoftMaker Office;Textmaker;PlanMaker;Presentations;No;No;No;No;No;Yes;DataMaker;No;Yes
SSuite Office;SSuite WordGraph;SSuite Accel Spreadsheet;SSuite WordGraph;Yes;No;No;SSuite EZPhoto Editor;Yes;Equation Editor;SSuite MonoBase;No;No
StarOffice;StarWriter;StarCalc;StarImpress;No;StarDraw;No;StarDraw;No;StarMath;StarBase;No;StarDraw
ThinkFree Office;Write;Calc;show;No;No;No;No;No;No;No;No;No
Tiki Wiki CMS Groupware;Tiki Wiki;Tiki Spreadhseet;Tiki Slideshow with S5 format;Tiki Notepad;Tiki Draw via SVG-edit;Tiki Draw via SVG-edit;Tiki Draw via SVG-edit;Tiki File Gallery;No;Tiki Trackers;Tiki Trackers, Tiki Wiki,Tiki Task;No
WordPerfect Office;WordPerfect;Quattro Pro;Corel Presentations;WordPerfect Lightning;Corel Presentations;Corel Paint Shop Pro;Corel Draw;No;Equation Editor;Paradox;Yes;Yes
ZCubes;ZText Editor;Calci;ZSlide;ZHandwrite;ZCharts;ZPaint;ZPaint;ZAlbum;Calci;ZPlatform;No;No
Zoho Office Suite;Zoho Writer;Zoho Sheet;Zoho Show;Zoho Notebook;No;No;No;No;No;Zoho Reports;Zoho Projects;No
