Name;E-mail client;HTML editor;Collaborative software;Online editing
Ability Office;No;No;No;No
Breadbox Office;Yes;Yes;No;No
Calligra Suite;Kontact;Quanta+;No;No
Celframe Office;Celframe Mail;Celframe Publishing, Celframe Write Inbuilt;Google Docs, plugin in all apps;Celframe Office Online - 2011
Feng Office Community Edition;beta;No;Yes;Yes
GobeProductive;No;Yes;No;No
Google Apps;Gmail;Google Sites;Yes;fully online
IBM Lotus Symphony;No;No;No;No
iWork;No;No;iWork.com in beta;iWork.com
Kingsoft Office (WPS Office);No;No;No;Yes
LibreOffice;No;LibreOffice Writer;No;With free plugins
Lotus SmartSuite;No;Lotus FastSite;Yes;No
MarinerPak;No;No;No;No
Microsoft Office;Microsoft Outlook, Microsoft Entourage;Microsoft SharePoint Designer;Microsoft Groove;Microsoft Office Live
Microsoft Works;No;No;No;Microsoft Office Live
NeoOffice;No;NeoOffice Writer;No;No
OpenOffice.org;No;OpenOffice.org Writer;No;With free plugins
ShareOffice;No;No;Yes;Fully online
SoftMaker Office;No;No;No;No
SSuite Office;Yes;No;Yes;No
StarOffice;No;StarWriter;No;With free plugins
ThinkFree Office;No;Note;No;ThinkFree.com
Tiki Wiki CMS Groupware;Tiki Webmail;WYSIWYG editor via CKEditor;Yes;Fully online
WordPerfect Office;WordPerfect MAIL;No;No;Yes
ZCubes;No;Yes;Yes;Yes
Zoho Office Suite;Zoho Mail;Zoho Writer;Yes;Yes
