Identifior,Preview,MinorChanges,ChangeSummary,PageHistory,PageRevisions,RevisionDiffs,PageIndex,PluginSystem
Groupswiki,N_A,Yes,N_A,Some,N_A,N_A,N_A,N_A
Sputnik,Yes,N_A,Enptbrru,Yes,No,Yes,No,No
Socialtext,Yes,X2,Yes,Yes,N_A,All,X2,Simplecomplex
TracWiki,Yes,Yes,Yes,Aaabafamarasayazbabebgbhbibnbobrcacocscydadedzeleneoeseteufafifjfofrfygagdglgnguhahehihrhuhyiaidieikisitiujajwkakkklkmknkokskukylalnloltlvmgmimkmlmnmomrmsmtmynanenlnoocomorpaplpsptptbrqurmrnrorurwsasdsgshsiskslsmsnsosqsrssstsusvswtatetgthtitktltntotrtstttwugukuruzvivowoxhyiyozazhzhtwzu,X3,Plugin,Yes,Yes
OpenWikiNG,N_A,Yes,N_A,En,No,Flat,No,Yes
Hatta,No,Yes,Yes,Ardadeenfrjaplsv,No,No,Yes,No
MidgardWiki,Yes,X2,Endefisv,X4,Plugin,Yes,No,Yes
SubWiki,N_A,En,X2,No,N_A,N_A,N_A,N_A
UseMod,N_A,N_A,N_A,No,N_A,N_A,N_A,ConflictDetection
Nexdo,No,No,All,N_A,Complex,N_A,N_A,N_A
Intodit,No,Yes,N_A,N_A,N_A,N_A,N_A,N_A
MoniWiki,Yes,Yes,No,Enfrko,X2,Flat,Yes,Yes
PBwiki,Yes,Yes,Yes,X2,N_A,All,Yes,Simplecomplex
XoWiki,Yes,Yes,N_A,Deenes,Yes,Threaded,Yes,Yes
JaWiki,N_A,Yes,No,En,No,No,No,No
PukiWiki,N_A,Yes,N_A,Deenjakotw,Yes,Plugin,No,No
Wiki,No,No,Yes,N_A,No,Some,Yes,Simplecomplex
WikiSpot,Yes,No,No,No,Yes,No,Yes,Simplecomplex
Bitweaver,Yes,Yes,Yes,Cacsdadeelenesfifrhrhuitjakonlnoplptptbrroruskslsrsvukzhzhtw,Yes,Threaded,Yes,N_A
Gazest,Yes,Yes,N_A,N_A,N_A,N_A,No,N_A
Gitit,Yes,Yes,N_A,En,N_A,Flat,Yes,Yes
SamePage,Yes,Yes,Yes,Yes,Unlimited,Betweenall,Yes,Yes
EditMe,No,No,Yes,Yes,Yes,All,No,Complex
ThoughtFarmer,Yes,Yes,No,Enesfrjakonlzhzhtw,Yes,Flat,Yes,No
WikkaWiki,Yes,Yes,Yes,N_A,X4,Flat,Yes,No
WikionaStick,Yes,Yes,No,Enit,No,No,Yes,Yes
WxWikiServer,N_A,En,No,Flat,No,No,Yes,PageLocking
MindTouch,Yes,Yes,Yes,Yes,Unlimited,Betweenall,Yes,Yes
DokuWiki,Yes,Yes,Yes,Afarazbgcacsdadeeleneoeseteufafifofrglhehihrhuidisitjakmkokulaltlvmgmkmrnenlnoplptptbrroruskslsqsrsvthtrukvizhzhtw,X2,Plugin,X3,Yes
BusinessWiki,Yes,Yes,X2,Yes,Unlimited,Betweenall,Yes,Yes
ProWiki,No,Yes,No,Deenesfrhuitjaru,Yes,No,Yes,Yes
UniWakka,N_A,En,No,Flat,N_A,N_A,N_A,PageLocking
WikiNi,Yes,No,N_A,Fr,X3,Threaded,N_A,X4
Wiclear,Yes,Yes,No,Enfrderuslnlit,Yes,Flat,Yes,No
MediaWiki,Yes,Yes,Yes,Aaabafamarasayazbabebgbhbibnbobrcacocscydadedzeleneoeseteufafifjfofrfygagdglgnguhahehihrhuhyiaidieikisitiujakakkklkmknkokskukylalnloltlvmgmimkmlmnmomrmsmtmynanenlnoocomorpaplpsptptbrqurmrnrorurwsasdsgshsiskslsmsnsosqsrssstsusvswtatetgthtitktltntotrtstttwugukuruzvivowoxhyiyozazhzhtwzu,X2,DiscussionPages,Yes,Yes
KeheiWiki,Yes,Yes,N_A,En,Yes,Threaded,Yes,Yes
PodWiki,No,No,En,No,Threaded,Yes,No,No
XWiki,Yes,Yes,No,Cacsdeenesfrglhihrhuitkolvnlnoplptrorusksvukvizhzhtw,Yes,Threaded,Yes,Yes
Yawiki,N_A,Yes,N_A,En,N_A,Threaded,Yes,Yes
