System;Web;Email;CLI;GUI;REST;SOAP;Mylyn;Visual Studio;Others
Assembla Tickets;Yes;Yes;Yes;No;Yes;No;Yes;No;No
BugTracker.NET;Yes;Yes;No;No;No;No;No;No;No
Bugzilla;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;No
codeBeamer;Yes;Yes;No;No;No;No;Yes;No;No
Debbugs;No;Yes;Yes;No;No;No;No;No;No
Flyspray;Yes;No;No;Yes;No;No;No;No;No
FogBugz;Yes;Yes;Yes;No;Yes;No;Yes;Yes;XML
Fossil;Yes;No;Yes;No;No;No;No;No;No
Gemini;Yes;Yes;No;Yes;Yes;No;No;Yes;No
GNATS;Yes;No;Yes;No;No;No;No;No;No
Google Code Hosting;Yes;No;No;No;No;No;Yes;No;No
HP Quality Center;Yes;No;No;No;No;No;Yes;No;No
IBM Rational ClearQuest;Yes;Yes;No;Yes;No;No;Yes;No;No
ikiwiki;Yes;No;Yes;Yes;No;No;No;No;No
IssueNet;Yes;Yes;No;Yes;No;No;No;Yes;No
IssueTrak;Yes;Yes;No;Yes;No;No;No;No;No
iSupport;Yes;Yes;No;No;No;No;No;No;No
JIRA;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes; Eclipse
Liberum Help Desk;Yes;No;No;No;No;No;No;No;No
LibreSource;Yes;No;No;No;No;No;No;No;No
Kayako SupportSuite;Yes;Yes;No;No;No;No;No;No;No
MantisBT;Yes;No;No;No;No;Yes;Yes;No;No
Microsoft Dynamics CRM;Yes;Yes;No;No;No;Yes;No;No;No
Mojo Helpdesk;Yes;Yes;No;No;No;No;No;No;No
OnTime;Yes;Yes;No;Yes;No;Yes;No;Yes;Eclipse, iPhone
org-mode;No;No;Yes;No;No;No;No;No;No
OTRS;Yes;Yes;No;No;No;Yes;No;No;No
Planbox;Yes;Yes;No;Yes;Yes;No;No;No;Mobile, Zendesk, Git, SVN, SnapEngage
Pivotal Tracker;Yes;Yes;Yes;Yes;Yes;No;No;No;XML, iOS App
Plain Ticket;Yes;Yes;No;No;No;No;No;No;No
Projistics;Yes;No;No;No;No;No;No;No;No
Redmine;Yes;Yes;No;No;Yes;No;Yes;No;No
Remedy Action Request System;Yes;Yes;No;Yes;No;Yes;No;No;No
Request Tracker;Yes;Yes;Yes;No;Yes;No;No;No;No
Roundup;Yes;Yes;Yes;No;No;No;No;No;No
StarTeam;No;No;No;Yes;No;No;No;Yes;No
Supportworks;Yes;Yes;No;Yes;Yes;No;No;No;No
Team Foundation Server;Yes;Yes;Yes;No;No;Yes;No;Yes;No
Teamwork;Yes;Yes;No;No;No;No;No;No;No
Trac;Yes;No;No;No;No;No;Yes;No;XMLRPC
Unawave;Yes;No;No;No;No;No;No;No;No
Web Help Desk;Yes;Yes;No;Yes;No;No;No;No;iPhone
Wrike;Yes;No;No;No;No;No;No;No;No
YouTrack;Yes;Yes;No;No;Yes;No;No;No;No
Zentrack;Yes;Yes;No;No;No;No;No;No;JSON, XML
Zoho BugTracker;Yes;Yes;No;Yes;No;No;No;No;No
