System;Email;RSS;Atom;XMPP;Twitter
Assembla Tickets;Yes;Yes;No;No;Yes
BugTracker.NET;Yes;No;No;No;No
Bugzilla;Yes;Yes;Yes;No;No
codeBeamer;Yes;Yes;Yes;No;Yes
Debbugs;Yes;No;No;No;No
Flyspray;Yes;Yes;Yes;Yes;No
FogBugz;Yes;Yes;No;No;No
Fossil;No;Yes;No;No;No
Gemini;Yes;Yes;No;No;No
GNATS;Yes;No;No;No;No
Google Code Hosting;Yes;Yes;No;No;No
HP Quality Center;Yes;No;No;No;No
IBM Rational ClearQuest;Yes;No;No;No;No
ikiwiki;No;Yes;Yes;No;No
IssueNet;Yes;No;No;No;No
IssueTrak;Yes;No;No;No;No
iSupport;Yes;No;No;No;No
JIRA;Yes;Yes;No;Yes;No
Liberum Help Desk;Yes;No;No;No;No
LibreSource;No;No;No;No;No
Kayako SupportSuite;Yes;No;No;No;No
MantisBT;Yes;Yes;No;No;Yes
Microsoft Dynamics CRM;Yes;No;No;No;No
Mojo Helpdesk;Yes;No;No;No;No
OnTime;Yes;Yes;No;No;No
org-mode;No;No;No;No;No
OTRS;Yes;No;No;No;No
Planbox;Yes;Yes;No;No;Yes
Pivotal Tracker;Yes;Yes;Yes;No;Yes
Plain Ticket;Yes;No;No;No;No
Projistics;No;No;No;No;No
Redmine;Yes;Yes;Yes;No;Yes
Remedy Action Request System;Yes;No;No;No;No
Request Tracker;Yes;Yes;No;No;No
Roundup;Yes;No;No;No;No
StarTeam;No;No;No;No;No
Supportworks;Yes;No;No;No;No
Team Foundation Server;Yes;No;No;No;No
Teamwork;Yes;Yes;No;No;Yes
Trac;Yes;Yes;No;No;No
Unawave;Yes;No;No;No;No
Web Help Desk;Yes;No;No;No;No
Wrike;Yes;No;No;No;No
YouTrack;Yes;Yes;No;Yes;No
Zentrack;Yes;No;No;No;No
Zoho BugTracker;Yes;Yes;No;No;No
