ProductIdentifier;V;P;R;D;O;T;M;S;K;Ad;Ae;C
1;Yes;Yes;Yes;Yes;Yes;Yes;No;No;Yes;Yes;Yes;No
2;Yes;Yes;Yes;Yes;Yes;Yes;No;No;Yes;No;Yes;No
3;Yes;Yes;No;Yes;Yes;Yes;No;No;Yes;Yes;Yes;No
4;Yes;Yes;No;Yes;Yes;Yes;No;No;Yes;No;Yes;No
5;Yes;Yes;Yes;Yes;Yes;Yes;No;No;Yes;Yes;Yes;Yes
6;Yes;Yes;Yes;Yes;Yes;Yes;No;No;Yes;Yes;No;Yes
7;Yes;Yes;Yes;Yes;Yes;Yes;No;No;Yes;No;Yes;Yes
8;Yes;Yes;Yes;Yes;Yes;Yes;No;No;Yes;No;No;Yes
9;Yes;Yes;No;Yes;Yes;Yes;No;No;Yes;Yes;Yes;Yes
10;Yes;Yes;No;Yes;Yes;Yes;No;No;Yes;Yes;No;Yes
11;Yes;Yes;No;Yes;Yes;Yes;No;No;Yes;No;Yes;Yes
12;Yes;Yes;No;Yes;Yes;Yes;No;No;Yes;No;No;Yes
13;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;No;No
14;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;No;No;No
15;Yes;Yes;No;Yes;Yes;No;Yes;Yes;Yes;Yes;No;No
16;Yes;Yes;No;Yes;Yes;No;Yes;Yes;Yes;No;No;No
