Editor;Windows;Mac OS X;Mac OS 9;Linux;BSD;Unix
Amaya;Yes;Yes;No;Yes;;No
Aptana;Yes;Yes;No;Yes;No;No
Arachnophilia;Yes;Yes;Yes;Yes;Yes;Yes
Bluefish;Yes;Yes;No;Yes;Yes;Yes
BlueGriffon;Yes;Yes;No;Yes;;No
Claris Homepage;;No;;No;No;No
CoffeeCup HTML Editor;Yes;No;No;No;No;No
Dreamweaver;Yes;Yes;;No;No;No
Freeway;No;Yes;;No;No;No
GoLive;;;;No;No;No
HTML-Kit;Yes;No;No;No;No;No
KompoZer;Yes;Yes;No;Yes;Yes;No
Maqetta;;;;;;No
Microsoft Expression Web;Yes;No;No;No;No;No
Microsoft FrontPage;;No;;No;No;No
Microsoft SharePoint Designer;Yes;No;No;No;No;No
Microsoft Visual Web Developer;Yes;No;No;No;No;No
Nvu;;;No;;;No
OpenBEXI;Yes;No;No;Yes;Yes;Yes
OpenOffice.org;Yes;Yes;No;Yes;;No
Quanta Plus;No;No;No;Yes;Yes;Yes
RapidWeaver;No;Yes;No;No;No;No
SeaMonkey Composer;Yes;Yes;No;Yes;Yes;Yes
